id;date;details;sent_date;format;user_id;org_id
1;2021-04-29T07:17:45;Pants;2021-04-28T20:37:14;EMAIL;3405;81146
2;2021-04-28T22:51:36;port;2021-04-28T23:16:59;SMS;86437;18722
3;2021-04-29T14:00:17;program next-generation;2021-04-29T08:25:24;EMAIL;97870;11395
4;2021-04-29T03:39:48;reboot payment;2021-04-29T02:17:25;SMS;67108;40188
5;2021-04-28T19:52:36;Sports invoice;2021-04-29T14:51:36;EMAIL;25250;97027
6;2021-04-29T09:58:06;Officer stable Intelligent;2021-04-29T07:15:15;SMS;64519;40687
7;2021-04-28T21:02:48;Salad;2021-04-29T01:22:38;SMS;49244;268
8;2021-04-29T05:45:17;parallelism deposit Berkshire;2021-04-28T20:25:44;EMAIL;18345;42331
9;2021-04-28T22:30:09;Usability Jewelery;2021-04-29T04:53:57;EMAIL;77847;4595
10;2021-04-29T11:16:39;parsing;2021-04-29T17:14:35;EMAIL;31675;99829
