id;branch_name;branch_city;branch_address_1;branch_address_2;branch_admin;org_id;created_by;create_time;update_by;update_time
1;protocol Pound;Guinea-Bissau;sensor black;virtual Associate Tools;32650;31522;63835;2021-04-29T16:19:31;6248;2021-04-29T12:40:15
2;Strategist compressing;Refined Dynamic International;maximized Consultant;software Djibouti olive;72128;24360;20709;2021-04-29T03:04:43;39010;2021-04-29T09:13:39
3;technologies Officer;Sausages;XSS;indigo;61697;31693;71896;2021-04-29T05:32:35;33225;2021-04-29T11:49:38
4;Maine leading Rubber;Sausages innovate fault-tolerant;Frozen;Engineer technologies;43403;60921;53000;2021-04-29T09:34:12;55264;2021-04-29T15:12:08
5;multi-byte Automotive;invoice Tools;synthesize Assistant HDD;quantifying monitor;84538;99125;35138;2021-04-28T19:48:00;89461;2021-04-29T13:06:27
6;feed;Internal Baby;National Analyst;dedicated;83385;86569;87413;2021-04-29T01:39:51;34646;2021-04-29T12:33:19
7;Buckinghamshire XML programming;Intranet Bedfordshire Unbranded;Leone;Djibouti scale;41786;79546;86420;2021-04-29T00:10:00;66867;2021-04-29T07:19:07
8;monitor Technician supply-chains;user-facing Bedfordshire neural;Account;Cambridgeshire of Global;79319;77633;24427;2021-04-29T00:47:53;33591;2021-04-29T14:29:02
9;Oklahoma Vision-oriented Baby;target Cheese SCSI;flexibility;Salad Profit-focused;71975;35670;2416;2021-04-29T11:01:54;91028;2021-04-28T20:57:26
10;facilitate Loan;Soft;User-friendly withdrawal;intranet Creative encryption;30654;23655;30281;2021-04-29T04:21:35;22131;2021-04-29T00:34:17
