id;subdomain_name;i_p_address;org_id;port;created_by;create_time;updated_by;update_time
1;Books;Centralized JBOD;28231;Direct payment Republic;36580;2021-04-29T14:45:16;17745;2021-04-28T20:32:27
2;Dakota AGP Dollar;Card;91360;generating bypass Accounts;14963;2021-04-28T17:10:23;39493;2021-04-28T22:24:12
3;Republic Bedfordshire interfaces;Auto Wooden;43920;bottom-line user-centric;61529;2021-04-28T23:57:06;88901;2021-04-29T01:48:13
4;Games productivity;Optimization;3625;Executive;75963;2021-04-28T18:53:54;3413;2021-04-28T22:40:21
5;Shoes Credit Movies;Computer Concrete digital;94692;Rubber Auto;60380;2021-04-29T09:29:48;53755;2021-04-28T19:33:59
6;partnerships;proactive SQL engine;47900;Human;99957;2021-04-29T03:47:36;27914;2021-04-29T15:42:34
7;Lebanese;Granite RAM;84385;Berkshire feed;92961;2021-04-29T06:17:58;93615;2021-04-28T17:48:30
8;AI;Home;53188;Borders;44954;2021-04-29T01:12:06;80776;2021-04-29T00:04:27
9;withdrawal;Practical;6067;Distributed firewall Moldova;78637;2021-04-29T02:25:36;75899;2021-04-29T13:42:24
10;Assurance parsing Lilangeni;Generic JSON;35669;navigating;15400;2021-04-29T00:56:19;55087;2021-04-29T11:25:54
